,Location,Period,Indicator,First Tooltip
504,Czechia,2014,"Dentists (per 10,000)",7.47
505,Czechia,2013,"Dentists (per 10,000)",7.02
506,Czechia,2012,"Dentists (per 10,000)",7.05
507,Czechia,2011,"Dentists (per 10,000)",7.03
508,Czechia,2010,"Dentists (per 10,000)",6.89
509,Czechia,2009,"Dentists (per 10,000)",6.76
510,Czechia,2008,"Dentists (per 10,000)",6.69
511,Czechia,2007,"Dentists (per 10,000)",6.71
512,Czechia,2006,"Dentists (per 10,000)",6.73
513,Czechia,2005,"Dentists (per 10,000)",
514,Czechia,2004,"Dentists (per 10,000)",6.68
515,Czechia,2003,"Dentists (per 10,000)",6.58
516,Czechia,2002,"Dentists (per 10,000)",6.53
517,Czechia,2001,"Dentists (per 10,000)",6.52
518,Czechia,2000,"Dentists (per 10,000)",
519,Czechia,1999,"Dentists (per 10,000)",6.24
520,Czechia,1998,"Dentists (per 10,000)",6.19
521,Czechia,1997,"Dentists (per 10,000)",6.26
522,Czechia,1996,"Dentists (per 10,000)",6.06
523,Czechia,1995,"Dentists (per 10,000)",6.03
524,Czechia,1994,"Dentists (per 10,000)",5.92
525,Czechia,1993,"Dentists (per 10,000)",5.69
526,Czechia,1992,"Dentists (per 10,000)",5.47
527,Czechia,1991,"Dentists (per 10,000)",5.47
528,Czechia,1990,"Dentists (per 10,000)",5.44
529,Democratic People's Republic of Korea,2017,"Dentists (per 10,000)",2.2
530,Democratic People's Republic of Korea,2012,"Dentists (per 10,000)",1.86
531,Democratic People's Republic of Korea,2008,"Dentists (per 10,000)",1.78
532,Democratic People's Republic of Korea,2003,"Dentists (per 10,000)",1.68
533,Democratic Republic of the Congo,2016,"Dentists (per 10,000)",0.019
534,Democratic Republic of the Congo,2009,"Dentists (per 10,000)",0.007
535,Denmark,2016,"Dentists (per 10,000)",7.44
536,Denmark,2015,"Dentists (per 10,000)",7.6
537,Denmark,2014,"Dentists (per 10,000)",
538,Denmark,2013,"Dentists (per 10,000)",7.79
539,Denmark,2012,"Dentists (per 10,000)",7.94
540,Denmark,2011,"Dentists (per 10,000)",8.0
541,Denmark,2010,"Dentists (per 10,000)",8.18
542,Denmark,2009,"Dentists (per 10,000)",8.06
543,Denmark,2008,"Dentists (per 10,000)",
544,Denmark,2007,"Dentists (per 10,000)",8.39
545,Denmark,2006,"Dentists (per 10,000)",8.5
546,Denmark,2005,"Dentists (per 10,000)",8.56
547,Denmark,2004,"Dentists (per 10,000)",8.57
548,Denmark,2003,"Dentists (per 10,000)",8.53
549,Denmark,2002,"Dentists (per 10,000)",8.52
550,Denmark,2001,"Dentists (per 10,000)",8.6
551,Denmark,2000,"Dentists (per 10,000)",8.58
552,Denmark,1999,"Dentists (per 10,000)",8.62
553,Denmark,1998,"Dentists (per 10,000)",8.74
554,Denmark,1997,"Dentists (per 10,000)",8.63
555,Denmark,1996,"Dentists (per 10,000)",8.58
556,Denmark,1995,"Dentists (per 10,000)",8.54
557,Denmark,1994,"Dentists (per 10,000)",8.54
558,Denmark,1993,"Dentists (per 10,000)",8.42
559,Denmark,1992,"Dentists (per 10,000)",
560,Djibouti,2014,"Dentists (per 10,000)",0.21
561,Djibouti,2004,"Dentists (per 10,000)",0.13
562,Djibouti,1999,"Dentists (per 10,000)",0.086
563,Dominica,2017,"Dentists (per 10,000)",0.7
564,Dominica,1997,"Dentists (per 10,000)",
565,Dominican Republic,2019,"Dentists (per 10,000)",1.89
566,Dominican Republic,2017,"Dentists (per 10,000)",2.15
567,Dominican Republic,2011,"Dentists (per 10,000)",1.95
568,Dominican Republic,2009,"Dentists (per 10,000)",1.86
569,Dominican Republic,2008,"Dentists (per 10,000)",1.27
570,Dominican Republic,2000,"Dentists (per 10,000)",8.26
571,Ecuador,2016,"Dentists (per 10,000)",3.18
572,Ecuador,2015,"Dentists (per 10,000)",5.28
573,Ecuador,2011,"Dentists (per 10,000)",2.74
574,Ecuador,2009,"Dentists (per 10,000)",2.28
575,Ecuador,2003,"Dentists (per 10,000)",1.66
576,Ecuador,2002,"Dentists (per 10,000)",1.7
577,Ecuador,2001,"Dentists (per 10,000)",1.64
578,Ecuador,2000,"Dentists (per 10,000)",1.63
579,Ecuador,1999,"Dentists (per 10,000)",1.61
580,Ecuador,1998,"Dentists (per 10,000)",1.55
581,Ecuador,1997,"Dentists (per 10,000)",1.59
582,Ecuador,1996,"Dentists (per 10,000)",1.55
583,Ecuador,1995,"Dentists (per 10,000)",
584,Ecuador,1994,"Dentists (per 10,000)",1.56
585,Ecuador,1993,"Dentists (per 10,000)",1.41
586,Ecuador,1992,"Dentists (per 10,000)",1.7
587,Ecuador,1991,"Dentists (per 10,000)",
588,Ecuador,1990,"Dentists (per 10,000)",1.48
589,Egypt,2018,"Dentists (per 10,000)",20.02
590,Egypt,2017,"Dentists (per 10,000)",1.98
591,Egypt,2016,"Dentists (per 10,000)",1.86
592,Egypt,2015,"Dentists (per 10,000)",
593,Egypt,2014,"Dentists (per 10,000)",
594,Egypt,2004,"Dentists (per 10,000)",1.11
595,El Salvador,2008,"Dentists (per 10,000)",7.61
596,El Salvador,2005,"Dentists (per 10,000)",7.03
597,El Salvador,2002,"Dentists (per 10,000)",
598,El Salvador,1999,"Dentists (per 10,000)",5.07
599,Equatorial Guinea,2004,"Dentists (per 10,000)",0.07
600,Eritrea,2004,"Dentists (per 10,000)",
601,Estonia,2018,"Dentists (per 10,000)",13.78
602,Estonia,2017,"Dentists (per 10,000)",9.59
603,Estonia,2016,"Dentists (per 10,000)",9.55
604,Estonia,2015,"Dentists (per 10,000)",9.42
605,Estonia,2014,"Dentists (per 10,000)",9.29
606,Estonia,2013,"Dentists (per 10,000)",9.02
607,Estonia,2012,"Dentists (per 10,000)",9.04
608,Estonia,2011,"Dentists (per 10,000)",8.88
609,Estonia,2010,"Dentists (per 10,000)",8.99
610,Estonia,2009,"Dentists (per 10,000)",8.95
611,Estonia,2008,"Dentists (per 10,000)",9.23
612,Estonia,2007,"Dentists (per 10,000)",8.66
613,Estonia,2006,"Dentists (per 10,000)",8.85
614,Estonia,2005,"Dentists (per 10,000)",8.78
615,Estonia,2004,"Dentists (per 10,000)",8.18
616,Estonia,2003,"Dentists (per 10,000)",8.21
617,Estonia,2002,"Dentists (per 10,000)",7.8
618,Estonia,2001,"Dentists (per 10,000)",8.06
619,Estonia,2000,"Dentists (per 10,000)",7.53
620,Estonia,1999,"Dentists (per 10,000)",7.55
621,Estonia,1998,"Dentists (per 10,000)",7.43
622,Estonia,1997,"Dentists (per 10,000)",7.4
623,Estonia,1996,"Dentists (per 10,000)",7.07
624,Estonia,1995,"Dentists (per 10,000)",6.48
625,Estonia,1994,"Dentists (per 10,000)",6.12
626,Estonia,1993,"Dentists (per 10,000)",
627,Estonia,1992,"Dentists (per 10,000)",5.59
628,Estonia,1991,"Dentists (per 10,000)",5.37
629,Estonia,1990,"Dentists (per 10,000)",
630,Eswatini,2019,"Dentists (per 10,000)",0.12
631,Eswatini,2011,"Dentists (per 10,000)",0.43
632,Eswatini,2009,"Dentists (per 10,000)",0.12
633,Eswatini,2004,"Dentists (per 10,000)",0.17
634,Eswatini,2000,"Dentists (per 10,000)",0.03
635,Ethiopia,2018,"Dentists (per 10,000)",0.16
636,Ethiopia,2003,"Dentists (per 10,000)",0.008
637,Fiji,2019,"Dentists (per 10,000)",1.2
638,Fiji,2015,"Dentists (per 10,000)",0.74
639,Fiji,2009,"Dentists (per 10,000)",2.0
640,Fiji,2003,"Dentists (per 10,000)",0.74
641,Fiji,1999,"Dentists (per 10,000)",0.4
642,Finland,2014,"Dentists (per 10,000)",7.3
643,Finland,2013,"Dentists (per 10,000)",7.26
644,Finland,2012,"Dentists (per 10,000)",7.4
645,Finland,2011,"Dentists (per 10,000)",7.78
646,Finland,2010,"Dentists (per 10,000)",7.89
647,Finland,2009,"Dentists (per 10,000)",7.43
648,Finland,2008,"Dentists (per 10,000)",7.53
649,Finland,2007,"Dentists (per 10,000)",7.81
650,Finland,2006,"Dentists (per 10,000)",7.85
651,Finland,2005,"Dentists (per 10,000)",8.05
652,Finland,2004,"Dentists (per 10,000)",8.13
653,Finland,2002,"Dentists (per 10,000)",8.94
654,Finland,2001,"Dentists (per 10,000)",8.77
655,Finland,2000,"Dentists (per 10,000)",8.5
656,Finland,1999,"Dentists (per 10,000)",9.32
657,France,2018,"Dentists (per 10,000)",6.67
658,France,2017,"Dentists (per 10,000)",6.66
659,France,2016,"Dentists (per 10,000)",6.65
660,France,2015,"Dentists (per 10,000)",6.61
661,France,2014,"Dentists (per 10,000)",6.59
662,France,2013,"Dentists (per 10,000)",6.59
663,France,2012,"Dentists (per 10,000)",6.57
664,France,2011,"Dentists (per 10,000)",6.57
665,France,2010,"Dentists (per 10,000)",6.86
666,France,2009,"Dentists (per 10,000)",
667,France,2008,"Dentists (per 10,000)",6.96
668,France,2007,"Dentists (per 10,000)",7.05
669,France,2006,"Dentists (per 10,000)",7.09
670,France,2005,"Dentists (per 10,000)",
671,France,2004,"Dentists (per 10,000)",7.13
672,France,2003,"Dentists (per 10,000)",7.15
673,France,2002,"Dentists (per 10,000)",7.17
674,France,2001,"Dentists (per 10,000)",7.18
675,France,2000,"Dentists (per 10,000)",7.21
676,France,1999,"Dentists (per 10,000)",
677,France,1998,"Dentists (per 10,000)",6.75
678,France,1997,"Dentists (per 10,000)",6.78
679,France,1996,"Dentists (per 10,000)",6.82
680,France,1995,"Dentists (per 10,000)",6.87
681,France,1994,"Dentists (per 10,000)",6.82
682,France,1993,"Dentists (per 10,000)",6.78
683,France,1992,"Dentists (per 10,000)",6.73
684,France,1991,"Dentists (per 10,000)",6.7
685,Gabon,2019,"Dentists (per 10,000)",0.21
686,Gabon,2017,"Dentists (per 10,000)",0.18
687,Gabon,2016,"Dentists (per 10,000)",
688,Gabon,2008,"Dentists (per 10,000)",0.2
689,Gabon,2004,"Dentists (per 10,000)",0.1
690,Gambia,2015,"Dentists (per 10,000)",
691,Gambia,2008,"Dentists (per 10,000)",
692,Gambia,2007,"Dentists (per 10,000)",0.067
693,Gambia,2006,"Dentists (per 10,000)",0.063
694,Gambia,2005,"Dentists (per 10,000)",0.065
695,Gambia,2003,"Dentists (per 10,000)",0.048
696,Georgia,2018,"Dentists (per 10,000)",7.62
697,Georgia,2017,"Dentists (per 10,000)",6.16
698,Georgia,2016,"Dentists (per 10,000)",6.39
699,Georgia,2015,"Dentists (per 10,000)",6.14
700,Georgia,2014,"Dentists (per 10,000)",5.33
701,Georgia,2013,"Dentists (per 10,000)",4.98
702,Georgia,2012,"Dentists (per 10,000)",4.94
703,Georgia,2011,"Dentists (per 10,000)",4.27
704,Georgia,2010,"Dentists (per 10,000)",3.07
705,Georgia,2009,"Dentists (per 10,000)",2.63
706,Georgia,2008,"Dentists (per 10,000)",2.82
707,Georgia,2007,"Dentists (per 10,000)",2.88
708,Georgia,2006,"Dentists (per 10,000)",2.96
709,Georgia,2005,"Dentists (per 10,000)",3.25
710,Georgia,2004,"Dentists (per 10,000)",3.01
711,Georgia,2003,"Dentists (per 10,000)",3.32
712,Georgia,2002,"Dentists (per 10,000)",
713,Georgia,2001,"Dentists (per 10,000)",3.11
714,Georgia,2000,"Dentists (per 10,000)",3.45
715,Georgia,1999,"Dentists (per 10,000)",3.87
716,Georgia,1998,"Dentists (per 10,000)",3.5
717,Georgia,1997,"Dentists (per 10,000)",3.63
718,Georgia,1996,"Dentists (per 10,000)",3.56
719,Germany,2017,"Dentists (per 10,000)",
720,Germany,2016,"Dentists (per 10,000)",8.55
721,Germany,2015,"Dentists (per 10,000)",8.56
722,Germany,2014,"Dentists (per 10,000)",8.5
723,Germany,2013,"Dentists (per 10,000)",8.42
724,Germany,2012,"Dentists (per 10,000)",8.38
725,Germany,2011,"Dentists (per 10,000)",8.28
726,Germany,2010,"Dentists (per 10,000)",8.22
727,Germany,2009,"Dentists (per 10,000)",8.12
728,Germany,2008,"Dentists (per 10,000)",8.01
729,Germany,2007,"Dentists (per 10,000)",7.92
730,Germany,2006,"Dentists (per 10,000)",7.84
731,Germany,2005,"Dentists (per 10,000)",7.8
732,Germany,2004,"Dentists (per 10,000)",7.77
733,Germany,2003,"Dentists (per 10,000)",7.72
734,Germany,2002,"Dentists (per 10,000)",7.64
735,Germany,2001,"Dentists (per 10,000)",7.61
736,Germany,2000,"Dentists (per 10,000)",7.55
737,Germany,1999,"Dentists (per 10,000)",7.47
738,Germany,1998,"Dentists (per 10,000)",7.42
739,Germany,1997,"Dentists (per 10,000)",7.38
740,Germany,1996,"Dentists (per 10,000)",7.3
741,Germany,1995,"Dentists (per 10,000)",7.21
742,Germany,1994,"Dentists (per 10,000)",
743,Germany,1993,"Dentists (per 10,000)",6.9
744,Germany,1992,"Dentists (per 10,000)",6.65
745,Ghana,2008,"Dentists (per 10,000)",0.019
746,Ghana,2007,"Dentists (per 10,000)",0.013
747,Ghana,2004,"Dentists (per 10,000)",0.049
748,Greece,2017,"Dentists (per 10,000)",12.55
749,Greece,2016,"Dentists (per 10,000)",
750,Greece,2015,"Dentists (per 10,000)",12.48
751,Greece,2014,"Dentists (per 10,000)",
752,Greece,2013,"Dentists (per 10,000)",12.95
753,Greece,2012,"Dentists (per 10,000)",13.18
754,Greece,2011,"Dentists (per 10,000)",13.41
755,Greece,2010,"Dentists (per 10,000)",13.47
756,Grenada,2017,"Dentists (per 10,000)",1.53
757,Grenada,2006,"Dentists (per 10,000)",1.81
758,Grenada,2003,"Dentists (per 10,000)",0.87
759,Grenada,2002,"Dentists (per 10,000)",0.87
760,Grenada,2001,"Dentists (per 10,000)",0.87
761,Grenada,2000,"Dentists (per 10,000)",0.88
762,Grenada,1999,"Dentists (per 10,000)",0.88
763,Grenada,1997,"Dentists (per 10,000)",0.69
764,Guatemala,2018,"Dentists (per 10,000)",
765,Guatemala,2007,"Dentists (per 10,000)",1.73
766,Guatemala,1999,"Dentists (per 10,000)",1.8
767,Guinea,2016,"Dentists (per 10,000)",0.043
768,Guinea,2005,"Dentists (per 10,000)",0.019
769,Guinea,2004,"Dentists (per 10,000)",0.025
770,Guinea,2000,"Dentists (per 10,000)",0.022
771,Guinea-Bissau,2018,"Dentists (per 10,000)",0.037
772,Guinea-Bissau,2009,"Dentists (per 10,000)",
773,Guinea-Bissau,2008,"Dentists (per 10,000)",0.014
774,Guinea-Bissau,2004,"Dentists (per 10,000)",0.023
775,Guyana,2018,"Dentists (per 10,000)",0.36
776,Guyana,2009,"Dentists (per 10,000)",0.39
777,Guyana,2000,"Dentists (per 10,000)",0.4
778,Haiti,2018,"Dentists (per 10,000)",0.21
779,Haiti,2015,"Dentists (per 10,000)",0.058
780,Haiti,2011,"Dentists (per 10,000)",
781,Haiti,1998,"Dentists (per 10,000)",0.12
782,Honduras,2017,"Dentists (per 10,000)",
783,Honduras,2016,"Dentists (per 10,000)",2.63
784,Honduras,2008,"Dentists (per 10,000)",0.3
785,Honduras,2000,"Dentists (per 10,000)",1.74
786,Hungary,2018,"Dentists (per 10,000)",7.08
787,Hungary,2017,"Dentists (per 10,000)",6.77
788,Hungary,2016,"Dentists (per 10,000)",6.24
789,Hungary,2015,"Dentists (per 10,000)",6.07
790,Hungary,2014,"Dentists (per 10,000)",
791,Hungary,2013,"Dentists (per 10,000)",6.06
792,Hungary,2012,"Dentists (per 10,000)",5.69
793,Hungary,2011,"Dentists (per 10,000)",5.29
794,Hungary,2010,"Dentists (per 10,000)",
795,Hungary,2009,"Dentists (per 10,000)",4.94
796,Hungary,2008,"Dentists (per 10,000)",5.07
797,Hungary,2007,"Dentists (per 10,000)",4.0
798,Hungary,2006,"Dentists (per 10,000)",
799,Hungary,2005,"Dentists (per 10,000)",4.47
800,Hungary,2004,"Dentists (per 10,000)",5.09
801,Hungary,2003,"Dentists (per 10,000)",5.28
802,Hungary,2002,"Dentists (per 10,000)",4.76
803,Hungary,2001,"Dentists (per 10,000)",3.57
804,Hungary,2000,"Dentists (per 10,000)",3.23
805,Hungary,1999,"Dentists (per 10,000)",4.5
806,Hungary,1998,"Dentists (per 10,000)",4.38
807,Hungary,1997,"Dentists (per 10,000)",3.71
808,Hungary,1996,"Dentists (per 10,000)",3.56
809,Hungary,1995,"Dentists (per 10,000)",3.49
810,Hungary,1994,"Dentists (per 10,000)",3.51
811,Hungary,1993,"Dentists (per 10,000)",3.36
812,Hungary,1992,"Dentists (per 10,000)",3.25
813,Hungary,1991,"Dentists (per 10,000)",2.35
814,Hungary,1990,"Dentists (per 10,000)",2.28
815,Iceland,2018,"Dentists (per 10,000)",8.58
816,Iceland,2017,"Dentists (per 10,000)",
817,Iceland,2016,"Dentists (per 10,000)",8.37
818,Iceland,2015,"Dentists (per 10,000)",8.42
819,Iceland,2014,"Dentists (per 10,000)",
820,Iceland,2013,"Dentists (per 10,000)",8.31
821,Iceland,2012,"Dentists (per 10,000)",
822,Iceland,2011,"Dentists (per 10,000)",
823,Iceland,2010,"Dentists (per 10,000)",9.34
824,Iceland,2009,"Dentists (per 10,000)",9.3
825,Iceland,2008,"Dentists (per 10,000)",9.68
826,Iceland,2007,"Dentists (per 10,000)",9.63
827,Iceland,2006,"Dentists (per 10,000)",9.54
828,Iceland,2005,"Dentists (per 10,000)",9.8
829,Iceland,2004,"Dentists (per 10,000)",9.86
830,Iceland,2003,"Dentists (per 10,000)",10.0
831,Iceland,2002,"Dentists (per 10,000)",10.1
832,Iceland,2001,"Dentists (per 10,000)",10.07
833,Iceland,2000,"Dentists (per 10,000)",10.09
834,Iceland,1999,"Dentists (per 10,000)",10.0
835,Iceland,1998,"Dentists (per 10,000)",9.84
836,Iceland,1997,"Dentists (per 10,000)",10.41
837,Iceland,1996,"Dentists (per 10,000)",10.26
838,Iceland,1995,"Dentists (per 10,000)",10.09
839,Iceland,1994,"Dentists (per 10,000)",
840,Iceland,1993,"Dentists (per 10,000)",10.05
841,Iceland,1992,"Dentists (per 10,000)",9.88
842,Iceland,1991,"Dentists (per 10,000)",9.36
843,Iceland,1990,"Dentists (per 10,000)",9.02
844,India,2019,"Dentists (per 10,000)",1.99
845,India,2018,"Dentists (per 10,000)",2.01
846,India,2017,"Dentists (per 10,000)",1.88
847,India,2016,"Dentists (per 10,000)",1.49
848,India,2014,"Dentists (per 10,000)",1.19
849,India,2012,"Dentists (per 10,000)",0.96
850,India,2011,"Dentists (per 10,000)",0.94
851,India,2009,"Dentists (per 10,000)",0.86
852,India,2008,"Dentists (per 10,000)",0.78
853,India,2007,"Dentists (per 10,000)",0.62
854,India,2006,"Dentists (per 10,000)",0.67
855,India,2005,"Dentists (per 10,000)",0.48
856,India,2004,"Dentists (per 10,000)",
857,India,2003,"Dentists (per 10,000)",0.43
858,India,2002,"Dentists (per 10,000)",0.43
859,India,2001,"Dentists (per 10,000)",0.44
860,India,2000,"Dentists (per 10,000)",
861,India,1991,"Dentists (per 10,000)",0.15
862,Indonesia,2018,"Dentists (per 10,000)",0.57
863,Indonesia,2017,"Dentists (per 10,000)",0.55
864,Indonesia,2015,"Dentists (per 10,000)",0.49
865,Indonesia,2012,"Dentists (per 10,000)",0.43
866,Indonesia,2010,"Dentists (per 10,000)",0.36
867,Indonesia,2009,"Dentists (per 10,000)",0.23
868,Indonesia,2003,"Dentists (per 10,000)",0.24
869,Iran (Islamic Republic of),2018,"Dentists (per 10,000)",4.47
870,Iran (Islamic Republic of),2017,"Dentists (per 10,000)",3.27
871,Iran (Islamic Republic of),2015,"Dentists (per 10,000)",3.34
872,Iran (Islamic Republic of),2014,"Dentists (per 10,000)",3.59
873,Iran (Islamic Republic of),2006,"Dentists (per 10,000)",
874,Iran (Islamic Republic of),2005,"Dentists (per 10,000)",
875,Iran (Islamic Republic of),2004,"Dentists (per 10,000)",1.54
876,Iraq,2019,"Dentists (per 10,000)",2.64
877,Iraq,2017,"Dentists (per 10,000)",2.54
878,Iraq,2016,"Dentists (per 10,000)",2.44
879,Iraq,2014,"Dentists (per 10,000)",2.29
880,Iraq,2010,"Dentists (per 10,000)",1.61
881,Ireland,2018,"Dentists (per 10,000)",6.68
882,Ireland,2017,"Dentists (per 10,000)",6.55
883,Ireland,2016,"Dentists (per 10,000)",
884,Ireland,2015,"Dentists (per 10,000)",6.08
885,Ireland,2014,"Dentists (per 10,000)",5.96
886,Ireland,2013,"Dentists (per 10,000)",5.74
887,Ireland,2012,"Dentists (per 10,000)",5.77
888,Ireland,2011,"Dentists (per 10,000)",5.81
889,Ireland,2010,"Dentists (per 10,000)",5.98
890,Ireland,2009,"Dentists (per 10,000)",6.01
891,Ireland,2008,"Dentists (per 10,000)",6.15
892,Ireland,2007,"Dentists (per 10,000)",5.87
893,Ireland,2006,"Dentists (per 10,000)",5.71
894,Ireland,2005,"Dentists (per 10,000)",5.62
895,Ireland,2004,"Dentists (per 10,000)",5.51
896,Ireland,2003,"Dentists (per 10,000)",5.46
897,Ireland,2002,"Dentists (per 10,000)",5.38
898,Ireland,2001,"Dentists (per 10,000)",5.22
899,Ireland,2000,"Dentists (per 10,000)",5.02
900,Israel,2017,"Dentists (per 10,000)",
901,Israel,2016,"Dentists (per 10,000)",8.06
902,Israel,2015,"Dentists (per 10,000)",
903,Israel,2014,"Dentists (per 10,000)",8.02
904,Israel,2013,"Dentists (per 10,000)",6.98
905,Israel,2012,"Dentists (per 10,000)",7.05
906,Israel,2011,"Dentists (per 10,000)",
907,Israel,2010,"Dentists (per 10,000)",8.67
908,Israel,2009,"Dentists (per 10,000)",8.48
909,Israel,2008,"Dentists (per 10,000)",8.36
910,Israel,2007,"Dentists (per 10,000)",8.33
911,Israel,2006,"Dentists (per 10,000)",
912,Israel,2005,"Dentists (per 10,000)",8.63
913,Israel,2004,"Dentists (per 10,000)",
914,Israel,2003,"Dentists (per 10,000)",9.82
915,Israel,2002,"Dentists (per 10,000)",9.19
916,Israel,2001,"Dentists (per 10,000)",8.47
917,Israel,2000,"Dentists (per 10,000)",8.41
918,Israel,1999,"Dentists (per 10,000)",9.73
919,Israel,1998,"Dentists (per 10,000)",10.18
920,Israel,1997,"Dentists (per 10,000)",9.58
921,Israel,1996,"Dentists (per 10,000)",8.97
922,Israel,1995,"Dentists (per 10,000)",13.77
923,Italy,2018,"Dentists (per 10,000)",8.24
924,Italy,2017,"Dentists (per 10,000)",8.17
925,Italy,2016,"Dentists (per 10,000)",8.01
926,Italy,2015,"Dentists (per 10,000)",7.86
927,Italy,2014,"Dentists (per 10,000)",7.88
928,Italy,2013,"Dentists (per 10,000)",7.82
929,Jamaica,2017,"Dentists (per 10,000)",0.89
930,Jamaica,2016,"Dentists (per 10,000)",0.16
931,Jamaica,2015,"Dentists (per 10,000)",0.13
932,Jamaica,2014,"Dentists (per 10,000)",0.13
933,Jamaica,2013,"Dentists (per 10,000)",0.12
934,Jamaica,2012,"Dentists (per 10,000)",
935,Jamaica,2008,"Dentists (per 10,000)",0.17
936,Jamaica,2003,"Dentists (per 10,000)",0.78
937,Japan,2016,"Dentists (per 10,000)",7.95
938,Japan,2014,"Dentists (per 10,000)",7.88
939,Japan,2012,"Dentists (per 10,000)",7.76
940,Japan,2010,"Dentists (per 10,000)",
941,Japan,2008,"Dentists (per 10,000)",7.52
942,Japan,2006,"Dentists (per 10,000)",7.37
943,Japan,2004,"Dentists (per 10,000)",7.43
944,Japan,2002,"Dentists (per 10,000)",
945,Japan,2000,"Dentists (per 10,000)",7.13
946,Japan,1998,"Dentists (per 10,000)",6.93
947,Japan,1996,"Dentists (per 10,000)",6.75
948,Japan,1994,"Dentists (per 10,000)",6.43
949,Japan,1992,"Dentists (per 10,000)",6.18
950,Japan,1990,"Dentists (per 10,000)",5.95
951,Jordan,2018,"Dentists (per 10,000)",7.13
952,Jordan,2017,"Dentists (per 10,000)",7.26
953,Jordan,2016,"Dentists (per 10,000)",7.03
954,Jordan,2015,"Dentists (per 10,000)",7.35
955,Jordan,2014,"Dentists (per 10,000)",
956,Jordan,2013,"Dentists (per 10,000)",
957,Jordan,2010,"Dentists (per 10,000)",7.84
958,Jordan,2009,"Dentists (per 10,000)",6.36
959,Jordan,2008,"Dentists (per 10,000)",7.77
960,Jordan,2007,"Dentists (per 10,000)",7.82
961,Jordan,2006,"Dentists (per 10,000)",7.67
962,Jordan,2005,"Dentists (per 10,000)",7.27
963,Jordan,2004,"Dentists (per 10,000)",7.12
964,Jordan,2003,"Dentists (per 10,000)",6.39
965,Jordan,2002,"Dentists (per 10,000)",
966,Jordan,2001,"Dentists (per 10,000)",5.5
967,Jordan,2000,"Dentists (per 10,000)",5.63
968,Jordan,1999,"Dentists (per 10,000)",5.39
969,Jordan,1998,"Dentists (per 10,000)",
970,Kazakhstan,2015,"Dentists (per 10,000)",2.9
971,Kazakhstan,2014,"Dentists (per 10,000)",3.72
972,Kazakhstan,2013,"Dentists (per 10,000)",3.76
973,Kazakhstan,2012,"Dentists (per 10,000)",4.13
974,Kazakhstan,2011,"Dentists (per 10,000)",3.96
975,Kazakhstan,2010,"Dentists (per 10,000)",4.1
976,Kazakhstan,2009,"Dentists (per 10,000)",3.55
977,Kazakhstan,2008,"Dentists (per 10,000)",
978,Kazakhstan,2007,"Dentists (per 10,000)",
979,Kazakhstan,2006,"Dentists (per 10,000)",3.61
980,Kazakhstan,2005,"Dentists (per 10,000)",3.39
981,Kazakhstan,2004,"Dentists (per 10,000)",3.56
982,Kazakhstan,2003,"Dentists (per 10,000)",3.45
983,Kazakhstan,2002,"Dentists (per 10,000)",3.34
984,Kazakhstan,2001,"Dentists (per 10,000)",2.91
985,Kazakhstan,2000,"Dentists (per 10,000)",
986,Kazakhstan,1999,"Dentists (per 10,000)",3.95
987,Kazakhstan,1998,"Dentists (per 10,000)",2.5
988,Kazakhstan,1997,"Dentists (per 10,000)",
989,Kazakhstan,1996,"Dentists (per 10,000)",3.86
990,Kazakhstan,1995,"Dentists (per 10,000)",4.24
991,Kazakhstan,1994,"Dentists (per 10,000)",4.24
992,Kazakhstan,1993,"Dentists (per 10,000)",4.53
993,Kazakhstan,1992,"Dentists (per 10,000)",4.37
994,Kazakhstan,1991,"Dentists (per 10,000)",4.22
995,Kazakhstan,1990,"Dentists (per 10,000)",4.23
996,Kenya,2019,"Dentists (per 10,000)",0.25
997,Kenya,2018,"Dentists (per 10,000)",0.16
998,Kenya,2014,"Dentists (per 10,000)",0.23
999,Kenya,2013,"Dentists (per 10,000)",0.23
1000,Kenya,2012,"Dentists (per 10,000)",0.22
1001,Kenya,2011,"Dentists (per 10,000)",0.22
1002,Kenya,2010,"Dentists (per 10,000)",0.21
1003,Kenya,2009,"Dentists (per 10,000)",0.25
1004,Kenya,2008,"Dentists (per 10,000)",0.25
1005,Kenya,2002,"Dentists (per 10,000)",0.22
1006,Kiribati,2016,"Dentists (per 10,000)",0.71
1007,Kiribati,2013,"Dentists (per 10,000)",0.65
1008,Kiribati,2011,"Dentists (per 10,000)",0.29
1009,Kiribati,2010,"Dentists (per 10,000)",0.39
1010,Kiribati,2008,"Dentists (per 10,000)",1.82
1011,Kiribati,2004,"Dentists (per 10,000)",0.33
1012,Kiribati,1998,"Dentists (per 10,000)",0.49
1013,Kuwait,2015,"Dentists (per 10,000)",6.75
1014,Kuwait,2014,"Dentists (per 10,000)",6.15
1015,Kuwait,2013,"Dentists (per 10,000)",6.23
1016,Kuwait,2012,"Dentists (per 10,000)",6.12
1017,Kuwait,2011,"Dentists (per 10,000)",5.8
1018,Kuwait,2010,"Dentists (per 10,000)",5.46
1019,Kuwait,2009,"Dentists (per 10,000)",3.74
1020,Kuwait,2008,"Dentists (per 10,000)",3.62
1021,Kuwait,2007,"Dentists (per 10,000)",3.4
1022,Kuwait,2006,"Dentists (per 10,000)",3.13
1023,Kuwait,2001,"Dentists (per 10,000)",3.2
